File A,File B,Similarity,n
UCSB37,BC17,4.7155544613233446e+32,8.0
UCSB37,Smith60,57398712557000.0,3.0
UCSB37,Smith60,6.4600092793e+16,4.0
UCSB37,Smith60,2.32498635926e+20,5.0
UCSB37,Smith60,2.229956083857e+23,6.0
UCSB37,Smith60,1.3439016070471998e+27,7.0
UCSB37,Smith60,4.58648866780534e+29,8.0
UCSB37,Columbia2,442357880610000.0,3.0
UCSB37,Columbia2,-9.0737108402e+16,4.0
UCSB37,Columbia2,1.766710934526e+22,5.0
UCSB37,Columbia2,1.38204673167016e+26,6.0
UCSB37,Columbia2,9.574682572263692e+30,7.0
UCSB37,Columbia2,3.153599181712595e+35,8.0
UCSB37,Dartmouth6,262890676230000.0,3.0
UCSB37,Dartmouth6,3.09817011976e+17,4.0
UCSB37,Dartmouth6,1.8647082439e+21,5.0
UCSB37,Dartmouth6,1.921042461528e+24,6.0
UCSB37,Dartmouth6,2.1235739002799997e+28,7.0
