File A,File B,Iterations,Similarity,n
Wake73,GWU54,1000.0,0.7902280148053505,5.0
Wake73,WashU32,1000.0,0.9558326634944523,5.0
Wake73,USC35,1000.0,0.6007488337430681,5.0
Wake73,JohnsHopkins55,1000.0,0.993391369057157,5.0
Wake73,Cal65,1000.0,0.9543985361859358,5.0
Wake73,BU10,1000.0,0.8448475065924822,5.0
Wake73,Princeton12,1000.0,0.9575368036940471,5.0
Wake73,Maryland58,1000.0,0.5916879652385255,5.0
Wake73,Amherst41,1000.0,0.9537219184565732,5.0
Wake73,Vassar85,1000.0,0.9537403670479699,5.0
Wake73,USFCA72,1000.0,0.9706444834890998,5.0
Wake73,Wesleyan43,1000.0,0.95584050043957,5.0
Wake73,Yale4,1000.0,0.7860264877972034,5.0
Wake73,MU78,1000.0,0.9574981636850604,5.0
Wake73,UIllinois20,1000.0,0.6049553667701351,5.0
Wake73,Hamilton46,1000.0,0.9620960028612089,5.0
Wake73,Middlebury45,1000.0,0.9544702027775621,5.0
Wake73,UConn91,1000.0,0.9370401750285006,5.0
Wake73,American75,1000.0,0.998161591268646,5.0
Wake73,Villanova62,1000.0,0.9997292700789674,5.0
Wake73,Bowdoin47,1000.0,0.9727010313540493,5.0
Wake73,Williams40,1000.0,0.9640006898787399,5.0
Wake73,UNC28,1000.0,0.6087481490070097,5.0
Wake73,Tennessee95,1000.0,0.5898374376019498,5.0
Wake73,Reed98,1000.0,0.9722138153343862,5.0
Wake73,Baylor93,1000.0,0.9620073955481452,5.0
Wake73,UVA16,1000.0,0.6791311531613158,5.0
Wake73,Emory27,1000.0,0.9796627552855137,5.0
Wake73,Indiana69,1000.0,0.9956845124398437,5.0
Wake73,UC33,1000.0,0.9704969984532841,5.0
Wake73,Auburn71,1000.0,0.5981771166715929,5.0
Wake73,NotreDame57,1000.0,0.9922737921518452,5.0
Wake73,Wisconsin87,1000.0,0.5876569174252335,5.0
Wake73,Texas80,1000.0,0.9974128533948445,5.0
Wake73,Howard90,1000.0,0.9886660524940543,5.0
Wake73,JMU79,1000.0,0.589247786654659,5.0
Wake73,Mississippi66,1000.0,0.9964902926750102,5.0
Wake73,Simmons81,1000.0,0.9649924564674276,5.0
Wake73,Colgate88,1000.0,0.9621719377500542,5.0
Wake73,Santa74,1000.0,0.9990288414497555,5.0
Wake73,Temple83,1000.0,0.7994418731133676,5.0
Wake73,Texas84,1000.0,0.5802498939151735,5.0
Wake73,Oklahoma97,1000.0,0.8483941854422556,5.0
Wake73,Wellesley22,1000.0,0.9932523463218047,5.0
Wake73,Michigan23,1000.0,0.9461360264527999,5.0
Wake73,Northeastern19,1000.0,0.9849160344104839,5.0
Wake73,Northwestern25,1000.0,0.8540072190905145,5.0
Wake73,Georgetown15,1000.0,0.9977658083847039,5.0
Wake73,UCLA26,1000.0,0.9911944432534446,5.0
Wake73,Cornell5,1000.0,0.6438576703004282,5.0
Wake73,UF21,1000.0,0.5668771984676486,5.0
Wake73,William77,1000.0,0.9935532501814514,5.0
Wake73,Harvard1,1000.0,0.9701057042383076,5.0
Wake73,Carnegie49,1000.0,0.9916142457637139,5.0
Wake73,Vermont70,1000.0,0.9935551278993763,5.0
Wake73,Bingham82,1000.0,0.9571531940096001,5.0
Wake73,UChicago30,1000.0,0.7784083426817348,5.0
Wake73,BC17,1000.0,0.9994721142831864,5.0
Wake73,Smith60,1000.0,0.9499183843649981,5.0
Wake73,Columbia2,1000.0,0.6192496463122289,5.0
Wake73,Dartmouth6,1000.0,0.9840804568649699,5.0
Wake73,UMass92,1000.0,0.5784780195527823,5.0
Wake73,Tufts18,1000.0,0.9780319431276473,5.0
Wake73,Berkeley13,1000.0,0.6103236506144556,5.0
Wake73,Virginia63,1000.0,0.565034105262012,5.0
Wake73,Pepperdine86,1000.0,0.9626825077558813,5.0
Wake73,Rutgers89,1000.0,0.9199920938662202,5.0
Wake73,Bucknell39,1000.0,0.9509864035400929,5.0
MSU24,Stanford3,1000.0,0.41988682197125615,5.0
MSU24,Duke14,1000.0,0.6406491817098908,5.0
MSU24,UCSC68,1000.0,0.3235617615318067,5.0
MSU24,Rice31,1000.0,0.3052188827652617,5.0
MSU24,Tulane29,1000.0,0.5412861278642569,5.0
MSU24,Lehigh96,1000.0,0.4940823391652507,5.0
MSU24,NYU9,1000.0,0.9881180268307478,5.0
MSU24,Penn94,1000.0,0.9989241912434803,5.0
